VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,NOTES,DRY_WEIGHT_BAG,DUPLICATES
320,11_0C_O,DALTON,11_0,0,C,O,,,Y,42,,9.68,
321,37_3SW_MC,DALTON,37_3,3,SW,M,C,10_15,Y,1,,0,
322,58_0NW_MC,DALTON,58_0,0,NW,M,C,0_5,Y,164,,0,
323,24_3NE_O,STEESE,24_3,3,NE,O,,,N,NA,,17.45,
324,57_2NE_O,DALTON,57_2,2,NE,O,,,Y,61,,80.61,
325,32_2SE_O,DALTON,32_2,2,SE,O,,,Y,91,,3.43,
326,39_2NE_O,DALTON,39_2,2,NE,O,,,N,94,REDONE_DROP,25.32,
327,37_3SW_O,DALTON,37_3,3,SW,O,,,Y,13,,19.69,
328,37_3NE_O,DALTON,37_3,3,NE,O,,,Y,62,,12.91,
329,37_3C_O,DALTON,37_3,3,C,O,,,Y,81,,1.79,
330,15_3SW_O,DALTON,15_3,3,SW,O,,,Y,107,,0.37,
331,42_1SE_MC,DALTON,42_1,1,SE,M,C,FULL,N,140,,136.78,
332,47_2C_MC,DALTON,47_2,2,C,M,C,5_10,Y,6,,0,
333,19_2NE_MC,STEESE,19_2,2,NE,M,C,FULL,N,108,,81.58,
334,26_2NW_MC,STEESE,26_2,2,NW,M,C, ,N,124,,114.93,
335,37_3NW_MC,DALTON,37_3,3,NW,M,C,10_15,Y,54,,0,
336,32_2SE_MC,DALTON,32_2,2,SE,M,C,10_15,Y,68,,9.56,
337,32_2NW_MC,DALTON,32_2,2,NW,M,C,0_5,Y,57,,0,
338,22_3NW_MC,STEESE,22_3,3,NW,M,C,FULL,N,43,,21.77,DUP
339,32_2C_MC,DALTON,32_2,2,C,M,C,0_5,Y,88,,0,
340,15_3NE_MC,DALTON,15_3,3,NE,M,C,0_5,Y,27,,0,
341,15_3NW_MC,DALTON,15_3,3,NW,M,C,0_5,Y,29,,40.66,
342,64_1NE_MC,DALTON,64_1,1,NE,M,C,10_15,Y,143,,11.9,
343,57_2SW_O,DALTON,57_2,2,SW,O,,,Y,60,,33.67,
344,56_2NE_MC,DALTON,56_2,2,NE,M,C,0_5,Y,28,,0,
345,56_2NW_MC,DALTON,56_2,2,NW,M,C,5_10,Y,24,,0,
346,32_2NW_MC,DALTON,32_2,2,NW,M,C,5_10,Y,61,,0,
347,11_0SE_MC,DALTON,11_0,0,SE,M,C,0_5,Y,121,,0,
348,15_3C_MC,DALTON,15_3,3,C,M,C,0_5,Y,3,,0,
349,8_2C_MC,DALTON,8_2,2,C,M,C,FULL,N,85,,6.95,
350,22_3NE_MC,STEESE,22_3,3,NE,M,C,FULL,N,81,,100,
351,35_3C_MC,STEESE,35_3,3,C,M,C,FULL,N,37,,69.37,
352,22_3SE_MC,STEESE,22_3,3,SE,M,C,FULL,N,69,,54.23,
353,52_1SE_MC,DALTON,52_1,1,SE,M,C,5_10,Y,146,,34.62,
354,52_1SE_MC,DALTON,52_1,1,SE,M,C,0_5,Y,11,,9.92,
355,58_0NE_MC,DALTON,58_0,0,NE,M,C,0_5,Y,79,,0,
356,44_0NE_MC,DALTON,44_0,0,NE,M,C,FULL,N,NA,,0,
357,54_3SE_MC,DALTON,54_3,3,SE,M,C,FULL,N,135,,126,
358,32_2NW_MC,DALTON,32_2,2,NW,M,C,10_15,Y,59,,10.65,
359,57_2SW_MC,DALTON,57_2,2,SW,M,C,10_15,Y,44,,0,
360,32_2SE_MC,DALTON,32_2,2,SE,M,C,0_5,Y,89,,0,
361,57_2NE_MC,DALTON,57_2,2,NE,M,C,5_10,Y,8,,0,
362,32_2SW_MC,DALTON,32_2,2,SW,M,C,5_10,Y,63,,0,
363,42_1SW_MC,DALTON,42_1,1,SW,M,C,FULL,N,7,,85.21,
364,40_2NW_MC,DALTON,40_2,2,NW,M,C,FULL,N,36,,102.6,
365,57_2NE_MC,DALTON,57_2,2,NE,M,C,10_15,Y,11,,0,
366,57_2SE_MC,DALTON,57_2,2,SE,M,C,0_5,Y,5,,0,
367,32_2C_MC,DALTON,32_2,2,C,M,C,10_15,Y,87,,16.64,
368,32_2NE_MC,DALTON,32_2,2,NE,M,C,0_5,Y,86,,0,
369,32_2C_MC,DALTON,32_2,2,C,M,C,5_10,Y,78,,28.56,
370,32_2NE_MC,DALTON,32_2,2,NE,M,C,5_10,Y,85,,14.75,
371,32_2SE_MC,DALTON,32_2,2,SE,M,C,5_10,Y,56,,0,
372,64_1SW_MC,DALTON,64_1,1,SW,M,C,10_15,Y,7,,0,
373,56_2C_O,DALTON,56_2,2,C,O,,,Y,65,REDONE_DROP,10.85,DUP
374,8_2NE_O,DALTON,8_2,2,NE,O,,,N,18,,10.53,
375,48_1NW_MC,DALTON,48_1,1,NW,M,C,FULL,N,147,,182.43,DUP
376,57_2NW_MC,DALTON,57_2,2,NW,M,C,0_5,Y,41,,0,
377,15_3NW_MC,DALTON,15_3,3,NW,M,C,5_10,Y,104,,0,
378,14_3SW_O,DALTON,14_3,3,SW,O,,,N,63,,0,DUP
379,57_2C_MC,DALTON,57_2,2,C,M,C,5_10,Y,40,,0,
380,11_0NW_MC,DALTON,11_0,0,NW,M,C,10_15,Y,136,,0,
381,19_2SW_O,STEESE,19_2,2,SW,O,,,N,NA,,38.34,DUP
382,52_1SW_MC,DALTON,52_1,1,SW,M,C,0_5,Y,1,,0,DUP
383,11_0NE_O,DALTON,11_0,0,NE,O,,,Y,130,,4.27,DUP
384,24_3SE_O,STEESE,24_3,3,SE,O,,,N,NA,,9.7,DUP
385,55_3SW_O,DALTON,55_3,3,SW,O,,,N,54,,0,
386,65_1SW_MC,DALTON,65_1,1,SW,M,C,5_10,Y,53,,0,
387,56_2C_MC,DALTON,56_2,2,C,M,C,0_5,Y,10,,0,
388,25_3SW_MC,STEESE,25_3,3,SW,M,C,,N,158,,99.24,
389,37_3SE_O,DALTON,37_3,3,SE,O,,,Y,20,,7.27,
390,20_1SE_MC,STEESE,20_1,1,SE,M,C,,N,37,,79.67,
391,4_2SW_MC,STEESE,4_2,2,SW,M,C,,N,84,,68.79,
392,52_1SE_MC,DALTON,52_1,1,SE,M,C,10_15,Y,128,,0,
393,5_1NE_MC,STEESE,5_1,1,NE,M,C,,N,74,,75.39,
394,52_1C_MC,DALTON,52_1,1,C,M,C,10_15,Y,158,,7.57,
395,15_3SW_MC,DALTON,15_3,3,SW,M,C,10_15,Y,55,,13.06,
396,28_1NW_MC,STEESE,28_1,1,NW,M,C,,N,139,,57.13,
397,4_2NE_MC,STEESE,4_2,2,NE,M,C,,N,150,,73.46,
398,15_3NE_MC,DALTON,15_3,3,NE,M,C,10_15,Y,42,,13.7,
399,15_3SE_MC,DALTON,15_3,3,SE,M,C,5_10,Y,112,,0,
400,19_2SE_MC,STEESE,19_2,2,SE,M,C,,N,NA,,29.29,
401,37_3C_MC,DALTON,37_3,3,C,M,C,0_5,Y,75,,0,
402,50_1SW_MC,DALTON,50_1,1,SW,M,C,0_5,Y,60,,0,
403,15_3SW_MC,DALTON,15_3,3,SW,M,C,5_10,Y,49,,0,
404,22_3SW_MC,STEESE,22_3,3,SW,M,C,,N,94,,63.83,
405,64_1NW_MC,DALTON,64_1,1,NW,M,C,0_5,Y,34,,0,
406,64_1SE_MC,DALTON,64_1,1,SE,M,C,0_5,Y,102,,2.68,
407,2_3C_MC,STEESE,2_3,3,C,M,C,,N,70,,27.87,
408,55_3C_MC,DALTON,55_3,3,C,M,C,,N,110,,4.76,
409,64_1NW_MC,DALTON,64_1,1,NW,M,C,5_10,Y,39,,0,
410,11_0SW_MC,DALTON,11_0,0,SW,M,C,0_5,Y,134,,0,
411,65_1C_MC,DALTON,65_1,1,C,M,C,5_10,Y,25,,0,
412,54_3SW_MC,DALTON,54_3,3,SW,M,C,,N,113,,27.91,
413,52_1NE_MC,DALTON,52_1,1,NE,M,C,10_15,Y,122,,63.71,
414,52_1SW_MC,DALTON,52_1,1,SW,M,C,10_15,Y,153,12.38,15.21,
415,65_1NE_MC,DALTON,65_1,1,NE,M,C,5_10,Y,142,,0,
416,37_3NE_MC,DALTON,37_3,3,NE,M,C,10_15,Y,113,,0,
417,55_3C_MC,DALTON,55_3,3,C,M,C,5_10,N,137,55_3 not seperated,,
418,47_2SE_MC,DALTON,47_2,2,SE,M,C,5_10,Y,12,,0,
420,37_3C_MC,DALTON,37_3,3,C,M,C,5_10,Y,76,,0,
421,65_1SE_MC,DALTON,65_1,1,SE,M,C,0_5,Y,127,,0,
422,22_3C_MC,STEESE,22_3,3,C,M,C,,N,53,,109.85,
423,65_1NW_MC,DALTON,65_1,1,NW,M,C,5_10,Y,49,,0,
424,57_2SW_MC,DALTON,57_2,2,SW,M,C,5_10,Y,50,,0,
425,16_2NW_MC,DALTON,16_2,2,NW,M,C,,N,130,,28.57,
426,52_1NW_MC,DALTON,52_1,1,NW,M,C,5_10,Y,152,,11.99,
427,20_1SW_MC,STEESE,20_1,1,SW,M,C,,N,130,,114.46,
428,28_1SE_MC,STEESE,28_1,1,SE,M,C,,N,104,,166.31,
429,3_2C_MC,STEESE,3_2,2,C,M,C,,N,NA,,271.98,
430,57_2SW_MC,DALTON,57_2,2,SW,M,C,0_5,Y,52,,0,
431,58_0C_MC,DALTON,58_0,0,C,M,C,0_5,Y,58,REDO,0.24,
432,58_0C_MC,DALTON,58_0,0,C,M,C,5_10,Y,106,REDO,0,
433,57_2NE_MC,DALTON,57_2,2,NE,M,C,0_5,Y,9,,0,
434,50_1NW_MC,DALTON,50_1,1,NW,M,C,10_15,Y,148,,0,
435,57_2SE_MC,DALTON,57_2,2,SE,M,C,5_10,Y,45,,0,
436,12_1NE_MC,DALTON,12_1,1,NE,M,C,0_5,Y,85,,0,
437,37_3NE_MC,DALTON,37_3,3,NE,M,C,0_5,Y,74,,0,
438,37_3SE_MC,DALTON,37_3,3,SE,M,C,0_5,Y,2,,0,
439,37_3NW_MC,DALTON,37_3,3,NW,M,C,0_5,Y,14,,0,
440,15_3C_MC,DALTON,15_3,3,C,M,C,5_10,Y,38,,0,
441,11_0C_MC,DALTON,11_0,0,C,M,C,10_15,Y,57,,0,
442,57_2NW_MC,DALTON,57_2,2,NW,M,C,5_10,Y,48,,0,
443,64_1NW_MC,DALTON,64_1,1,NW,M,C,10_15,Y,29,,0,
444,65_1SE_MC,DALTON,65_1,1,SE,M,C,5_10,Y,73,,0,
445,65_1NW_MC,DALTON,65_1,1,NW,M,C,10_15,Y,48,,0,
446,64_1NE_MC,DALTON,64_1,1,NE,M,C,5_10,Y,56,,0,
447,11_0NE_MC,DALTON,11_0,0,NE,M,C,10_15,Y,150,,0,
448,37_3SW_MC,DALTON,37_3,3,SW,M,C,0_5,Y,51,,0,
449,50_1SE_O,DALTON,50_1,1,SE,O,,,Y,104,,30.37,
450,47_2NW_O,DALTON,47_2,2,NW,O,,,Y,98,,35.95,
451,2_3C_O,STEESE,2_3,3,C,O,,,N,NA,,13.36,
452,47_2SW_MC?,DALTON,47_2,2,SW,M,C,0_5,Y,70,(MAYBE ORGANIC),24.08,
453,56_2SE_O,DALTON,56_2,2,SE,O,,,Y,116,,62.11,
454,56_2SW_O,DALTON,56_2,2,SW,O,,,Y,110,,16.76,
455,15_3SE_O,DALTON,15_3,3,SE,O,,,Y,111,,3.82,
456,47_2SW_O,DALTON,47_2,2,SW,O,,,Y,114,,45.03,
457,56_2C_O,DALTON,56_2,2,C,O,,,Y,108,REDO,8.01,
458,55_3NE_O,DALTON,55_3,3,NE,O,,,N,72,,0.21,
459,16_2NE_O,DALTON,16_2,2,NE,O,,,N,88,,15.13,
460,35_3SE_O,STEESE,35_3,3,SE,O,,,N,NA,,30.31,
461,57_2SE_O,DALTON,57_2,2,SE,O,,,Y,115,,37.16,
462,40_2NW_O,DALTON,40_2,2,NW,O,,,N,69,,24.91,
463,14_3NW_O,DALTON,14_3,3,NW,O,,,N,94,,10.33,
464,18_1NE_O,STEESE,18_1,1,NE,O,,,N,NA,,9.06,
465,34_2C_O,STEESE,34_2,2,C,O,,,N,NA,,20.56,
466,22_3NW_O,STEESE,22_3,3,NW,O,,,N,NA,,46.63,
467,44_0C_O,DALTON,44_0,0,C,O,,,N,133,,17.33,
468,23_3NE_O,STEESE,23_3,3,NE,O,,,N,NA,,23.22,
469,23_3NW_O,STEESE,23_3,3,NW,O,,,N,NA,,26.82,
470,26_2C_O,STEESE,26_2,2,C,O,,,N,NA,,14.06,
471,7_3NW_O,DALTON,7_3,3,NW,O,,,N,119,,3.16,
472,22_3SW_O,STEESE,22_3,3,SW,O,,,N,NA,,13.7,DUP
473,41_1NW_O,DALTON,41_1,1,NW,O,,,N,60,,6.88,
474,25_3SE_O,STEESE,25_3,3,SE,O,,,N,NA,,20.78,
475,16_2SW_O,DALTON,16_2,2,SW,O,,,N,103,,21.86,
476,47_2SE_O,DALTON,47_2,2,SE,O,,,Y,96,,10.71,
477,47_2C_O,DALTON,47_2,2,C,O,,,Y,105,,36.25,
478,2_3SW_O,STEESE,2_3,3,SW,O,,,N,NA,,6.42,
479,42_1NW_O,DALTON,42_1,1,NW,O,,,N,155,,12.31,
480,22_3NE_O,STEESE,22_3,3,NE,O,,,N,NA,,29.07,
481,33_1C_O,STEESE,33_1,1,C,O,,,N,NA,,20.55,
482,34_2NE_O,STEESE,34_2,2,NE,O,,,N,NA,,14.94,
483,58_0SE_O,DALTON,58_0,0,SE,O,,,Y,156,,18.82,
484,3_2C_O,STEESE,3_2,2,C,O,,,N,NA,,17.33,
485,29_1NE_O,STEESE,29_1,1,NE,O,,,N,NA,,13.16,
486,8_2NW_O,DALTON,8_2,2,NW,O,,,N,30,,2.15,
487,22_3SW_O,STEESE,22_3,3,SW,O,,,N,NA,,13.7,DUP
488,7_3NE_O,DALTON,7_3,3,NE,O,,,N,76,,13.63,
489,42_1C_O,DALTON,42_1,1,C,O,,,N,64,,13.06,
490,11_0SE_O,DALTON,11_0,0,SE,O,,,Y,58,,3.91,
491,54_3C_O,DALTON,54_3,3,C,O,,,N,47,,16.36,
492,28_1SW_O,STEESE,28_1,1,SW,O,,,N,125,,8.61,
493,48_1NE_O,DALTON,48_1,1,NE,O,,,N,NA,,18.18,
494,14_3NE_O,DALTON,14_3,3,NE,O,,,N,32,,13.69,
495,55_3NW_O,DALTON,55_3,3,NW,O,,,N,92,,2.77,
496,19_2C_O,STEESE,19_2,2,C,O,,,N,NA,,15.22,
497,44_0SW_O,DALTON,44_0,0,SW,O,,,N,39,,35.41,
498,5_1SW_O,STEESE,5_1,1,SW,O,,,N,NA,,17.47,
499,54_3NE_O,DALTON,54_3,3,NE,O,,,N,22,,21.35,
500,19_2NE_O,STEESE,19_2,2,NE,O,,,N,NA,,24.23,
501,52_1C_O,DALTON,52_1,1,C,O,,,Y,31,,19.97,
502,3_2NW_O,STEESE,3_2,2,NW,O,,,N,NA,,28.55,
503,29_1SE_O,STEESE,29_1,1,SE,O,,,N,NA,,35.44,
504,3_2SE_MC,STEESE,3_2,2,SE,M,C,,N,94,,73.75,
505,52_1NW_O,DALTON,52_1,1,NW,O,,,Y,8,,19.51,
506,52_1SE_O,DALTON,52_1,1,SE,O,,,Y,64,,34.42,
507,19_2SW_MC,STEESE,19_2,2,SW,M,C,,N,32,,116.75,
508,10_0NE_O,DALTON,10_0,0,NE,O,,,Y,108,,18.88,
509,4_2NE_O,STEESE,4_2,2,NE,O,,,N,NA,,18.43,
510,4_2SW_O,STEESE,4_2,2,SW,O,,,N,53,,28.66,
511,36_1SE_O,STEESE,36_1,1,SE,O,,,N,NA,,17.65,
512,19_2NW_O,STEESE,19_2,2,NW,O,,,N,NA,,16.55,
513,10_0SW_O,DALTON,10_0,0,SW,O,,,Y,55,,21.48,
514,3_2SW_O,STEESE,3_2,2,SW,O,,,N,NA,,31.55,
515,48_1SE_O,DALTON,48_1,1,SE,O,,,N,135,,16.62,
516,20_1SE_O,STEESE,20_1,1,SE,O,,,N,49,,81.35,
517,58_0SE_MC,DALTON,58_0,0,SE,M,C,10_15,Y,63,,0,
518,34_2SW_O,STEESE,34_2,2,SW,O,,,N,NA,,29.15,
519,18_1SW_MC,STEESE,18_1,1,SW,M,C,,N,45,,76.68,
520,33_1C_MC,STEESE,33_1,1,C,M,C,,N,34,,43.46,
521,20_1NW_MC,STEESE,20_1,1,NW,M,C,,N,120,,153.31,
522,17_3SE_O,STEESE,17_3,3,SE,O,,,N,NA,,26.81,
523,10_0NW_MC,DALTON,10_0,0,NW,M,C,10_15,Y,145,,0,
524,32_2SW_MC,DALTON,32_2,2,SW,M,C,10_15,Y,77,,22.24,
525,40_2NE_O,DALTON,40_2,2,NE,O,,,N,151,,27.53,
526,65_1C_MC,DALTON,65_1,1,C,M,C,0_5,Y,140,,0,
527,19_2NW_MC,STEESE,19_2,2,NW,M,C,,N,64,,144.49,
528,27_2NW_MC,STEESE,27_2,2,NW,M,C,,N,NA,,199.32,
529,34_2SW_MC,STEESE,34_2,2,SW,M,C,,N,60,,38.43,
530,64_1SE_MC,DALTON,64_1,1,SE,M,C,5_10,Y,99,,0,
531,29_1SW_MC,STEESE,29_1,1,SW,M,C,,N,42,,65.55,
532,19_2C_MC,STEESE,19_2,2,C,M,C,,N,106,,77.75,
533,18_1NE_MC,STEESE,18_1,1,NE,M,C,,N,45,,80.67,
534,65_1SW_MC,DALTON,65_1,1,SW,M,C,0_5,Y,30,,0,
535,12_1C_MC,DALTON,12_1,1,C,M,C,0_5,Y,78,,0,
536,10_0SW_MC,DALTON,10_0,0,SW,M,C,10_15,Y,33,,2.61,
537,2_3SE_MC,STEESE,2_3,3,SE,M,C,,N,141,,118.8,
538,27_2NE_O,STEESE,27_2,2,NE,O,,,N,NA,,50.54,
539,55_3SE_O,DALTON,55_3,3,SE,O,,,N,45,,0.53,
540,19_2SE_O,STEESE,19_2,2,SE,O,,,N,NA,,19.79,
541,26_2NE_O,STEESE,26_2,2,NE,O,,,N,NA,,13,
542,40_2SE_O,DALTON,40_2,2,SE,O,,,N,125,,12.85,
543,35_3C_O,STEESE,35_3,3,C,O,,,N,NA,,13.84,
544,33_1SE_MC,STEESE,33_1,1,SE,M,C,,N,129,,60.13,
545,19_2NW_MC,STEESE,19_2,2,NW,M,C,,N,64,,239.77,
546,27_2NE_MC,STEESE,27_2,2,NE,M,C,,N,123,,137.78,
547,40_2SW_O,DALTON,40_2,2,SW,O,,,N,96,,19.35,
548,17_3C_O,STEESE,17_3,3,C,O,,,N,NA,,10.34,
549,23_3C_O,STEESE,23_3,3,C,O,,,N,NA,,28.1,
551,52_1NE_MC,DALTON,52_1,1,NE,M,C,5_10,Y,120,,25.73,
552,14_3C_MC,DALTON,14_3,3,C,M,C,,N,116,,0,
553,40_2NE_MC,DALTON,40_2,2,NE,M,C,,N,105,,110.85,
554,8_2SW_MC,DALTON,8_2,2,SW,M,C,,N,32,,0,
555,14_3NW_MC,DALTON,14_3,3,NW,M,C,,N,111,,0,
556,23_3SE_MC,STEESE,23_3,3,SE,M,C,,N,126,,178.33,
557,22_3NW_MC,STEESE,22_3,3,NW,M,C,,N,43,,21.77,DUP
558,20_1C_MC,STEESE,20_1,1,C,M,C,,N,95,,72.04,
559,42_1NE_MC,DALTON,42_1,1,NE,M,C,,N,70,,31.06,
560,20_1NW_O,STEESE,20_1,1,NW,O,,,N,NA,,55.21,
561,11_0SW_O,DALTON,11_0,0,SW,O,,,Y,14,,20.22,
562,24_3NW_O,STEESE,24_3,3,NW,O,,,N,NA,,42.92,
563,58_0C_O,DALTON,58_0,0,C,O,,,Y,57,,30.78,
564,57_2C_O,DALTON,57_2,2,C,O,,,Y,101,,13.99,
565,4_2NW_O,STEESE,4_2,2,NW,O,,,N,NA,,29.24,
566,33_1NE_O,STEESE,33_1,1,NE,O,,,N,NA,,11.31,
567,44_0NW_O,DALTON,44_0,0,NW,O,,,N,62,,9.27,
568,3_2NE_O,STEESE,3_2,2,NE,O,,,N,56,,13.99,
569,36_1SW_O,STEESE,36_1,1,SW,O,,,N,NA,,26.86,
570,50_1NW_MC,DALTON,50_1,1,NW,M,C,0_5,Y,124,,0,
571,11_0NW_O,DALTON,11_0,0,NW,O,,,Y,21,,13.03,
572,27_2NW_O,STEESE,27_2,2,NW,O,,,N,NA,,38.33,
573,65_1SE_O,DALTON,65_1,1,SE,O,,,Y,65,,12.92,
574,33_1NW_MC,STEESE,33_1,1,NW,M,C,,N,97,,71.22,
575,5_1SW_MC,STEESE,5_1,1,SW,M,C,,N,96,,0,
576,24_3NE_MC,STEESE,24_3,3,NE,M,C,,N,102,,28.75,
577,41_1SE_MC,DALTON,41_1,1,SE,M,C,,N,65,,231.77,
578,40_2C_MC,DALTON,40_2,2,C,M,C,,N,153,,96.65,
579,3_2NW_MC,STEESE,3_2,2,NW,M,C,,N,NA,,160.25,
580,10_0SE_O,DALTON,10_0,0,SE,O,,,Y,35,,10.44,
581,27_2SW_MC,STEESE,27_2,2,SW,M,C,,N,92,,65.51,
582,35_3SE_MC,STEESE,35_3,3,SE,M,C,,N,133,,83.04,
583,24_3C_MC,STEESE,24_3,3,C,M,C,,N,92,,88.45,
584,55_3NW_MC,DALTON,55_3,3,NW,M,C,,N,131,,12.31,
585,54_3C_MC,DALTON,54_3,3,C,M,C,,N,112,,49.46,
586,8_2NE_MC,DALTON,8_2,2,NE,M,C,,N,124,,0,
587,4_2NW_MC,STEESE,4_2,2,NW,M,C,,N,58,,107.58,
588,26_2C_MC,STEESE,26_2,2,C,M,C,,N,72,,128.11,
589,64_1C_MC,DALTON,64_1,1,C,M,C,0_5,Y,55,,24.63,
590,7_3C_MC,DALTON,7_3,3,C,M,C,,N,79,,0,
591,8_2SW_MC,DALTON,8_2,2,SW,M,C,,N,136,Bag says 8_1,30.49,
592,10_0SW_MC,DALTON,10_0,0,SW,M,C,0_5,Y,57,,0,
593,4_2SE_MC,STEESE,4_2,2,SE,M,C,,N,149,,47.88,
594,52_1C_MC,DALTON,52_1,1,C,M,C,0_5,Y,NA,,8.51,
595,3_2NE_MC,STEESE,3_2,2,NE,M,C,,N,130,,74.12,
596,14_3SE_MC,DALTON,14_3,3,SE,M,C,,N,118,,0,
597,24_3NW_MC,STEESE,24_3,3,NW,M,C,,N,50,,105.77,
598,48_1NW_MC,DALTON,48_1,1,NW,M,C,,N,147,,182.43,DUP
599,28_1C_MC,STEESE,28_1,1,C,M,C,,N,122,,206.86,
600,2_3NE_MC,STEESE,2_3,3,NE,M,C,,N,52,,0,
601,25_3NE_MC,STEESE,25_3,3,NE,M,C,,N,142,,16.85,
602,36_1NW_MC,STEESE,36_1,1,NW,M,C,,N,121,,121.89,
603,3_2SW_MC,STEESE,3_2,2,SW,M,C,,N,63,,193.66,
604,7_3NW_MC,DALTON,7_3,3,NW,M,C,,N,139,,0,
605,8_2SE_MC,DALTON,8_2,2,SE,M,C,,N,152,,1.01,
606,14_3NE_MC,DALTON,14_3,3,NE,M,C,,N,114,,0,
607,64_1SE_MC,DALTON,64_1,1,SE,M,C,10_15,Y,41,,0,
608,52_1SE_MC,DALTON,52_1,1,SE,M,C,10_15,Y,128,,97.89,
609,44_0SE_MC,DALTON,44_0,0,SE,M,C,,N,101,,5.19,
610,35_3NW_MC,STEESE,35_3,3,NW,M,C,,N,41,,150.29,
611,65_1NE_MC,DALTON,65_1,1,NE,M,C,10_15,Y,86,,0,
612,10_0C_MC,DALTON,10_0,0,C,M,C,10_15,Y,66,,0,
613,14_3SE_O,DALTON,14_3,3,SE,O,,,N,69,,4.65,
614,52_1NW_MC,DALTON,52_1,1,NW,M,C,10_15,Y,15,,0,
615,24_3SW_MC,STEESE,24_3,3,SW,M,C,,N,139,,0.04,
616,34_2C_MC,STEESE,34_2,2,C,M,C,,N,122,,0,
617,55_3SW_MC,DALTON,55_3,3,SW,M,C,,N,115,,6.56,
618,25_3NW_MC,STEESE,25_3,3,NW,M,C,,N,64,,17.87,
619,48_1SE_MC,DALTON,48_1,1,SE,M,C,,N,43,,0,
620,65_1C_MC,DALTON,65_1,1,C,M,C,10_15,Y,81,,0,
621,24_3SE_MC,STEESE,24_3,3,SE,M,C,,N,120,,54.54,
622,35_3NE_MC,STEESE,35_3,3,NE,M,C,,N,137,,87.69,
623,29_1NE_MC,STEESE,29_1,1,NE,M,C,,N,51,,103.66,
624,26_2NE_MC,STEESE,26_2,2,NE,M,C,,N,127,,66.71,
625,18_1C_MC,STEESE,18_1,1,C,M,C,,N,78,,9.85,
626,11_0SE_MC,DALTON,11_0,0,SE,M,C,10_15,Y,26,,0,
627,12_1C_MC,DALTON,12_1,1,C,M,C,5_10,Y,70,,0,
628,65_1NE_MC,DALTON,65_1,1,NE,M,C,0_5,Y,4,,5.49,
629,52_1NW_MC,DALTON,52_1,1,NW,M,C,0_5,Y,133,,30.11,
630,18_1NW_MC,STEESE,18_1,1,NW,M,C,,N,157,,105.26,
631,64_1SW_MC,DALTON,64_1,1,SW,M,C,0_5,Y,17,,5.93,
632,2_3NW_O,STEESE,2_3,3,NW,O,,,N,NA,,25.17,
633,5_1C_O,STEESE,5_1,1,C,O,,,N,NA,,15.36,
634,26_2SW_MC,STEESE,26_2,2,SW,M,C,,N,119,,89.88,
635,17_3SW_MC,STEESE,17_3,3,SW,M,C,,N,125,,113.69,
636,54_3NW_MC,DALTON,54_3,3,NW,M,C,,N,19,,4.1,
637,64_1SW_MC,DALTON,64_1,1,SW,M,C,5_10,Y,35,,0,
638,12_1SW_O,DALTON,12_1,1,SW,O,,,Y,NA,,3.58,
639,29_1NW_O,STEESE,29_1,1,NW,O,,,N,NA,,8.18,
640,5_1SE_MC,STEESE,5_1,1,SE,M,C,,N,NA,,164.83,
641,8_2NE_O,DALTON,8_2,2,NE,O,,,N,18,,,
642,48_1SW_O,DALTON,48_1,1,SW,O,,,N,98,,22.45,
643,50_1C_O,DALTON,50_1,1,C,O,,,Y,6,,34.7,
644,44_0SE_O,DALTON,44_0,0,SE,O,,,N,28,,24.77,
645,16_2NW_O,DALTON,16_2,2,NW,O,,,N,61,,33.86,
646,28_1SE_O,STEESE,28_1,1,SE,O,,,N,NA,,16.58,
647,27_2C_MC,STEESE,27_2,2,C,M,C,,N,145,,133.49,
648,56_2C_O,DALTON,56_2,2,C,O,,,Y,65,,10.85,DUP
649,12_1C_O,DALTON,12_1,1,C,O,,,Y,91,,10.3,
650,56_2NE_O,DALTON,56_2,2,NE,O,,,Y,92,,10.02,
651,27_2SE_MC,STEESE,27_2,2,SE,M,C,,N,NA,,106.58,
652,12_1NW_MC,DALTON,12_1,1,NW,M,C,5_10,Y,82,,0,
653,12_1SW_MC,DALTON,12_1,1,SW,M,C,5_10,Y,46,,0,DUP
654,39_2NE_O,DALTON,39_2,2,NE,O,,,N,107,21-Jun,20.84,
655,24_3SE_O,STEESE,24_3,3,SE,O,,,N,NA,,9.7,DUP
656,50_1SW_MC,DALTON,50_1,1,SW,M,C,10_15,Y,43,,0,
657,3_2SE_O,STEESE,3_2,2,SE,O,,,N,NA,,28.95,
658,20_1C_O,STEESE,20_1,1,C,O,,,N,NA,,25.31,
659,22_3SE_O,STEESE,22_3,3,SE,O,,,N,NA,,38.05,
660,20_1SW_O,STEESE,20_1,1,SW,O,,,N,142,,45.82,
661,17_3SE_MC,STEESE,17_3,3,SE,M,C,,N,95,,57.8,
662,17_3NE_MC,STEESE,17_3,3,NE,M,C,,N,123,,69.7,
663,58_0NE_O,DALTON,58_0,0,NE,O,,,Y,162,,37.19,
664,48_1SW_MC,DALTON,48_1,1,SW,M,C,,N,163,,121.05,
665,16_2NE_MF,DALTON,16_2,2,NE,M,F,,N,82,,294.9,
666,8_2NW_MF,DALTON,8_2,2,NW,M,F,,N,1,,280.68,
