VIAL,SAMPLE,SITE,PLOT,TREAT,CORNER,ORG_MIN,COARSE_FINE,DEPTH,DIVID,BAG,VIAL_WEIGHT,NOTES
824,58_0NW_MF,,58_0,0,NW,M,F,10_15,Y,46,18.91,
825,36_1NE_MF,,36_1,1,NE,M,F,,Y,161,21.63,
826,36_1NE_MC,,36_1,1,NE,M,C,,Y,161,17.16,
827,5_1SE_O,,5_1,1,SE,O,,,N,NA,5.6,
828,27_2C_O,,27_2,2,C,O,,,N,NA,5.67,
829,42_1SE_O,,42_1,1,SE,O,,,N,42,6.2,
830,50_1SW_O,,50_1,1,SW,O,,,N,75,5.68,
831,8_2C_O,,8_2,2,C,O,,,N,92,8.49,
832,27_2SE_O,,27_2,2,SE,O,,,N,NA,6.79,
833,17_3SW_O,,17_3,3,SW,O,,,N,NA,6.49,
834,55_3C_O,,55_3,3,C,O,,,N,50,9.88,
835,39_2C_O,,39_2,2,C,O,,,N,99,7.5,
836,58_0NE_MC,,58_0,0,NE,M,C,5_10,Y,NA,16.75,
837,10_0SW_MC,,10_0,0,SW,M,C,5_10,Y,NA,18.57,
838,10_0SW_MF,,10_0,0,SW,M,F,5_10,Y,68,19.45,
839,58_0NE_MF,,58_0,0,NE,M,F,5_10,Y,NA,21.65,
840,16_2C_O,,16_2,2,C,O,,,N,122,7.78,
841,37_3NW_O,,37_3,3,NW,O,,,N,100,7.53,
842,17_3NW_O,,17_3,3,NW,O,,,N,NA,8.57,
843,41_1NE_O,,41_1,1,NE,O,,,N,87,3.32,
844,39_2SW_MF,,39_2,2,SW,M,F,,Y,86,15.07,21-Jun
845,39_2SW_MC,,39_2,2,SW,M,C,,Y,86,14.12,21-Jun
846,39_2C_O,,39_2,2,C,O,,,N,79,8.34,*CHECK?
847,7_3SE_MF,,7_3,3,SE,M,F,,Y,89,18.89,
848,7_3SE_MC,,7_3,3,SE,M,C,,Y,89,15.01,
849,29_1C_MF,,29_1,1,C,M,F,,Y,82,15.79,
850,29_1C_MC,,29_1,1,C,M,C,,Y,82,12.32,
851,64_1NE_O,,64_1,1,NE,O,,,N,47,7.46,
852,12_1NE_O,,12_1,1,NE,O,,,N,5,6.61,
853,27_2SW_O,,27_2,2,SW,O,,,N,67,5.8,
854,64_1NW_O,,64_1,1,NW,O,,,N,101,8.95,
855,64_1SW_O,,64_1,1,SW,O,,,N,165,15.14,
856,25_3NW_O,,25_3,3,NW,O,,,N,NA,12.75,
857,44_0NE_O,,44_0,0,NE,O,,,N,73,6.05,
858,65_1NW_O,,65_1,1,NW,O,,,N,66,5.47,
859,7_3SW_O,,7_3,3,SW,O,,,N,59,6.72,
860,50_1NW_O,,50_1,1,NW,O,,,N,24,8.17,
861,26_2SW_O,,26_2,2,SW,O,,,N,NA,6.67,
862,29_1C_O,,29_1,1,C,O,,,N,NA,5.16,
863,15_3NW_MC,,15_3,3,NW,M,C,10_15,Y,16,0.4,
864,58_0SW_O,,58_0,0,SW,O,,,Y,49,4.39,
865,56_2SW_MC,,56_2,2,SW,M,C,10_15,Y,31,0.8,
866,39_2NW_MC,,39_2,2,NW,M,C,0_5,Y,4,0.29,
867,55_3SW_O,,55_3,3,SW,O,,,N,54,0.85,
868,26_2SE_O,,26_2,2,SE,O,,,N,NA,6.44,
869,28_1C_O,,28_1,1,C,O,,,N,200,9.02,
870,41_1SE_O,,41_1,1,SE,O,,,N,123,9.97,
871,10_0NW_O,,10_0,0,NW,O,,,N,50,3.34,
872,52_1SW_MC,,52_1,1,SW,M,C,0_5,Y,1,0.72,ALL ROCK
873,56_2C_MC,,56_2,2,C,M,C,5_10,Y,30,0.09,NOT MUCH
874,57_2SE_MC,,57_2,2,SE,M,C,10_15,Y,46,0,(ACTUALLY 13)
875,58_0C_MC,,58_0,0,C,M,C,0_5,Y,83,0.58,
876,39_2C_MC,,39_2,0,C,M,C,,Y,24,0.16,21-Jun
877,41_1NE_MC,,41_1,1,NE,M,C,,Y,13,37.35,
878,42_1NE_O,,42_1,1,NE,O,,,N,136,7.06,
879,26_2NW_O,,26_2,2,NW,O,,,N,NA,4.95,
880,25_3SW_O,,25_3,3,SW,O,,,N,NA,12.02,
881,54_3SW_O,,54_3,3,SW,O,,,N,100,6.56,
882,33_1SE_O,,33_1,1,SE,O,,,N,NA,6.02,
883,18_1C_O,,18_1,1,C,O,,,N,NA,7.07,
884,7_3SE_O,,7_3,3,SE,O,,,N,87,9.23,
